ID;treatment;time;rep;salinity;pH;temp;O2;NO3;NO2;PO4;Si;NH4;P;aCy;Al;BB.Car;Bca;bCy;BE.Car;Ca;Ca.allo;Ca.epi;Ca.iso1;Ca.iso2;Ca.iso3;Ca.iso4;Ca.iso5;Ca.iso7;Car1;Car2;Cb;Cc2;Cda;Ct;Ct.iso;Ec;F;F.iso1;L;L.iso1;L.iso2;My.iso1;My.iso2;My.iso3;My.iso4;O;Pda.1;Pha;Pya;Z;EPS.prot.col;EPS.prot.bound;EPS.carb.bound;EPS.carb.col
TC-R5-P7;TC;P7;R5;74.2;7.981;23.9;2.4;0.28;0.32;16.65;217.61;99.47;294.712;3.83046848999148;6.09203261957741;3.03604485701053;5.31342059877241;0.502990811817063;0.0843345793614036;5.5819991415568;0.948039859052136;0.849920102048168;0.699695370635196;1.65044198160468;0.299772774846607;0.0954130050866176;0.620522877052683;0.0534583503676794;1.14129218695881;0.308457347826704;0.048979231448648;0.293552034188306;0.0230073912974823;0.0431840286957386;4.00994552174716;3.98719358383136;6.96641955770762;0.311721530348883;0.956217778262783;2.4753702163093;1.24154082500248;6.24626129349076;1.53457530543785;5.03556620327095;3.33133935652841;1.54228673913352;0.526935506333263;9.30041168678208;13.7530167152982;7.26417054131888;1103.073617;385.39801617704;44.7753972;143.63017
TC-R6-P7;TC;P7;R6;68.8;7.902;23.7;4.4;0.25;0.46;8.13;122.96;94.12;496.87;3.63693513311122;3.42570703430369;2.88827113895514;5.57191809321835;0.317609061281973;0.0904941349019888;4.91323229066701;0.766773560769136;0.686719787024063;1.07500781886241;2.34661027937089;0.387198864848619;0.1470375436134;0.798359403471274;0.0593596009402243;1.08604842573034;0.347535496233708;0.0321178818202405;1.02118449386309;0.0501016815275288;0.0422007388283788;1.94247518430626;2.16521192941615;10.4020036300665;0.436776638213386;0.992958560667737;1.42737793095987;1.24740419183884;13.3987345780103;1.08604842573034;3.05334757405329;3.7732425305374;1.24119820083467;0.848132044219217;7.31513888139075;14.4818546550431;6.4976725813695;844.0479459;171.542965610896;64.9197726;203.684915
pH-R1-P7;pH;P7;R1;61.9;7.753;20.1;2;0.13;0.05;10.31;211.7;98.77;NA;2.4104586146529;5.32690035640668;1.81484732222186;6.77827246250042;0.16236249736004;0.0567139788194331;1.94894996320646;0.265939655948879;0.407919759740888;9.35212022131518;9.29696641176521;1.77202091078873;0.880822720832733;1.15440745929349;0.0141980103792009;0.902337093082907;0.280035649577454;0.00731954164262496;0.160475365934976;0.0180205516351396;0.046672608262909;1.24460288701091;2.03423179659463;2.66603088069602;0.139253508511502;1.05168943952422;1.54953059432858;1.15125767048509;10.8840522469104;0.192913447486691;2.9559318566509;4.5303545087197;1.19481877153047;11.8638964202343;3.9333706769594;5.46419602150576;6.08610811748333;340.146501;461.546351613249;148.906924;239.943374
pH-R3-P7;pH;P7;R3;60.7;7.76;19.9;2.7;0.25;0.11;1.71;44.9;4.94;355.922;2.50140946150778;3.5509061594529;1.80234397423715;5.51596789352263;0.2399220442654;0.059181443930175;3.17774005425826;0.411447208394608;0.371817732231954;9.64589220284507;8.04789185522749;1.69163469815876;0.99539919537959;1.01171721497598;0.00971310690261114;0.730548025323851;0.190385242963185;0.00729081267971945;0.793790604762403;0.0338016120210868;0.0265653827390491;0.703982642584802;1.4334031099159;5.82473280305763;0.230112900861536;0.761540971852741;0.872230066598779;0.863374939019097;10.5863050215111;0.726120461534009;2.73180685833222;4.34786764162437;0.925360832076878;12.5252817184404;6.58031104773136;5.73319054503491;4.33901251404469;530.4335194;377.274211847653;94.4959023;291.59128
pH-R4-P7;pH;P7;R4;61.5;7.727;20.3;2.6;0.33;0.21;2.52;77.86;1.22;350.93;2.8378658788137;3.18214811696392;2.19844632737626;6.46563445744056;0.365677817415196;0.0904325439629953;5.55997870585201;0.730521301003804;0.727368619680113;3.51884274028528;3.44723183593287;0.703948701275552;0.299955108796876;0.457589174981421;0.0391833250230154;0.70315208390977;0.169372399773886;0.00925653303847008;2.33824967272854;0.0977331210344177;0.0313082314733547;0.621032132504249;1.42770428325062;17.433240547101;0.627974555888561;0.851994495832276;0.882789477609346;0.846861998869431;11.9792479112803;1.63726653114757;2.18131120920914;3.53115791043738;0.934114447237796;6.3829644221022;7.06685346732743;5.54125482797883;4.0803350854618;365.1265038;376.736226834712;85.9146097;128.500136
pH-R5-P7;pH;P7;R5;61.9;7.675;19.8;1.5;0.39;0.37;8.15;126.75;93.01;359.928;3.17974006385792;3.37354573572143;2.6349159816668;10.48087557037;0.0568591758323974;0.0873891732613109;2.37285261520028;0.359905594923189;0.785213800613504;4.16128891898438;7.50523643908368;1.30805221534252;0.463937817897799;1.34706429895799;0.0244781701116728;0.985040486140884;0.322535380417812;0.00581013711469798;0.294372070624127;0.0191235703997444;0.0431500035964369;1.04606069324696;2.1577070992281;3.61500842858777;0.173042178914123;1.01119200347206;0.985040486140884;1.31629303900242;14.3615416010363;0.252798000868014;2.92025276864775;4.74650039560806;1.25963141811821;7.84781209462633;4.64614302376359;7.66911428602003;6.18047526260077;728.7471536;481.847151119869;234.72336;205.438544
pH-R6-P7;pH;P7;R6;63.3;7.839;20.2;3;1.12;1.4;3.37;100.05;24.65;411.551;2.077693196313;4.83965362859071;1.76815865410855;3.83680433256552;0.295894387091015;0.0701032065505593;2.79055051700917;0.368435917887725;0.313311154600707;8.21921470561136;11.4271384303651;2.102053473506;0.707059463793696;1.08730783095721;0.0146249371985967;0.641013725641154;0.147433156897465;0.0180951275262153;0.385701813194726;0.0292498743971935;0.0371787960871869;0.910239490410438;1.58162410884965;4.42815598236472;0.249864600885784;0.807677294307854;1.03844223553867;1.01921182376943;12.5830994343359;0.589732627589862;2.80764011830825;5.2755429620267;0.891009078641204;11.4103086223997;4.7962717625826;5.56279921322365;4.87170431487277;370.7990118;193.950778997715;177.410817;275.844711
C-R1-P8;C;P8;R1;60.6;7.765;20.8;1.7;0.35;0.19;4.88;85.34;64.75;450.139;1.33818609951139;4.17800694914519;5.23855591412537;7.22706746582846;1.11106277069524;0.479442151771673;3.4654952585788;0.262488720793841;0.259804787043392;1.24427168670782;2.15358844135969;0.399369342066702;0.15459458402582;0.459489458076743;0.034085958630693;0.425141263492813;0.480195527830011;0.0318978872135016;1.55491649726317;0.0477740207579792;0.538308362408166;0.822755394817026;1.87464639360162;10.2310011144962;0.314613219425055;2.45603190348726;1.4772894263815;0.834989675780848;15.1582741141754;3.48677007468925;5.31579507878063;4.20247551107284;0.66370974228734;1.94367541708313;9.30038237206446;4.99503682454698;5.83881058998402;343.7398567;138.950567982638;31.170473;264.772317
C-R3-P8;C;P8;R3;61.1;8.08;20.5;3.8;0.29;0.21;1.1;50.32;0.87;366.3;1.57022660549085;3.34099736015117;5.69056593141424;5.4159012347636;1.04115926273988;0.536167109130842;5.08840959841784;0.435930262673809;0.311237383906726;0.211779968699648;0.502235206145194;0.0809019272953097;0.0479968620651073;0.314206261972609;0.0930248460643316;0.420091651192004;0.321412404267708;0.0950644316788646;2.72125098811904;0.14225874065689;0.358064695982446;0.865557965878827;2.12241150216246;13.3873708809645;0.388718126826425;0.676657693195174;0.845822116493968;0.405994615917105;14.7962482245345;4.64638282660686;4.30805398000928;5.98560117772231;0.583617260380838;1.01143835883304;6.52136922790447;10.8561050514746;3.85976825826747;177.3509015;62.7413721345752;26.2329109;145.348228
C-R4-P8;C;P8;R4;61.5;7.987;20.1;3.8;0.16;0.19;7.38;162.89;2.05;419.637;1.42472909460833;6.47935475306389;5.25189039394099;8.73938727956086;1.0842743499227;0.490684298751312;3.41337066181477;0.321338364351732;0.24755674595073;3.19332022096968;3.16160706920083;0.64688357536668;0.321985571530688;0.486699798575031;0.0239466656213778;0.442528497648074;0.383524697961664;0.240877822844627;0.760777308573581;0.0423920702216283;0.560536097020894;1.27964490569901;2.72391875696558;4.70636820964091;0.186338107847774;1.72217340334709;1.7627385156315;0.899807945217751;11.6126853257815;4.29252642718632;5.00794749838404;5.3435316091005;0.575287046942496;3.06167162965323;6.13594273103342;7.24469624300661;5.72705630706216;398.3905633;137.362297413275;46.0067934;274.287453
C-R5-P8;C;P8;R5;61.1;7.99;20.3;3.7;0.65;0.59;6.37;144.01;14.95;457.135;1.78129237305732;3.56467763807681;6.30690282491889;9.19878054072275;1.86842080434817;0.565628366732967;4.18794589524736;0.317461029051498;0.330582751585627;0.223915845824323;0.746245058957055;0.0800001793209775;0.0800001793209775;0.704340203122257;0.0596826734616816;0.371421080016122;0.766960411981343;0.18722888059885;1.68221861688337;0.0664551754147802;0.352126478456843;1.03708483381125;2.47890492903234;10.5641617864268;0.39171661205439;0.766960411981343;1.1721470447262;0.332831876897564;14.2056503980192;4.1724575871941;2.63853676323141;9.29517430118269;0.501659640541256;1.41731575108244;4.91116388165776;7.79523663095342;4.87671054410779;227.5938545;137.048315444106;24.2016342;144.45586
C-R6-P8;C;P8;R6;60.3;8.15;20.2;4.4;2.37;1.3;1.29;31.43;8.99;454.789;1.24529442968128;3.14521124889076;6.82294148497341;5.59492237812312;0.917101070134733;0.558983502171202;6.32860165010359;0.597053073665209;0.367726758308626;0.0928033977934242;0.21886581676137;0.0399644689919659;0.0144837672856789;0.163076490920237;0.0270900091824735;0.50739073597266;0.281204504274004;0.059919236745423;2.95015791324365;0.233081366134351;0.464598746191833;1.11259173430149;3.62675060492201;13.0694250390964;0.398249551710458;1.29292940552069;1.20123228456178;0.944480345876818;12.7672958081795;4.33421725065802;4.40146180602789;2.75397019946606;0.461542175493202;0.783227716931126;7.87404931421426;8.5528466688879;5.79525804460339;455.7200468;109.359526228116;1.36749059;231.825641
TC/pH-R2-P8;TC/pH;P8;R2;64.1;7.822;24.6;2.9;0.31;0.28;7.68;125.07;91.14;454.271;0.851858516063524;3.94256592526539;5.05930673566303;6.6087264927365;0.869422609178236;0.436009618838012;1.66723694401586;0.139000408506159;0.136696534332024;10.5694067528744;8.50052774450096;1.8791933680363;1.0766771973792;1.00256924477785;0.0261105739735326;0.336934046887275;0.472582819010723;0.0199009580919365;0.4782251932292;0.0345581126120285;0.621358891662247;0.835771466954149;1.93239892866689;3.51396827799234;0.225841556742879;1.82031900655982;0.984547539605673;0.708874228516085;11.8670796773804;1.44837882493101;3.24681899727738;6.55489873035244;0.507588953752258;9.49336627910335;3.2890402856736;3.90199779345823;4.94024076539913;597.0947624;717.213624852063;94.2847774;448.826709
TC/pH-R3-P8;TC/pH;P8;R3;69.9;7.92;24.3;2.1;0.11;0.12;12;231;101.98;473.901;1.37538173724486;3.43972275077105;6.58163296295262;4.67766306296904;1.1404680520956;0.63774624039764;5.03784520865129;0.510908077062827;0.272020448293503;0.0901212691057646;0.231929736669247;0.028825552986035;0.0175603943478144;0.207742778416597;0.0755428285151262;0.449316144173167;0.381352357659579;0.0417461080712105;1.31677530624635;0.0178917225430562;0.385128123577;3.40951662343168;4.30208873113454;8.7352781749131;0.426543224453635;0.785359310823687;1.35172419843692;0.785359310823687;10.35315014557;1.99360440439859;4.17977287058568;7.34764047530238;0.555037589860971;0.645011422003858;7.97234117596768;15.6866777831338;4.55357369641042;602.6420009;144.715122871299;44.6004892;364.96367
